Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Black Girls who Code,https://www.blackgirlscode.com/events/,Hackathon,Non-Profit,"Middle, High",Free,,USA,Underrepresented,Female,Black/African American,Community,"At Black Girls CODE we host community oriented ""girls only"" hackathons for girls between the ages of 12 - 17 which allow students to participate in creating solutions to social issues within their communities while they build their skills, confidence, experience and have lots of fun!",Ages 12-17 females,Free,,
American Computer Science League,https://www.acsl.org/,Hackathon,Private,"Elementary, Middle, High",Free,,USA,,,,,"American Computer Science League (ACSL) organizes computer science and programming contests for K-12 students. The 2020-2021 school year will be our 43rd year of continuous operation. Last year, about 500 teams in the United States, Canada, Europe, and Asia participated.",K-12 Students,Free,,Divided into Seasons
Hash Hub (on pause),https://www.hash-hub.org/,Hackathon,Private,"High, Postsecondary",Free,,USA,,,,,"Provide relevant technical education and training to support student goals, a skilled workforce, and the economic vitality of our communities and be a catalyst in engaging partners to bring innovative educational solutions to individuals, employers, and communities – transforming challenges into opportunities",Students,Free,,
Citrus Hack,https://citrushack.com/,Hackathon,Private,"High, Postsecondary",Free,,USA,,,,,"Citrus Hack is where hundreds of students from all over the world come together and form teams, aiming to build a project from scratch in just 36 hours. This year, Citrus Hack will be held virtually, open to undergraduate and high school students all around the world!",Undergrad and High School Students,Free,,3 days
Selfless Hackers,https://selflesshackers.com/,Hackathon,Private,Postsecondary,Free,,USA,,,,,We wanted to bring some of the smartest minds in the country together to fight Coronavirus head-on. We will have online workshops to get you started and mentors to figure out the details of your ideas.,Undergrad Students,Free,,1 day
Junior Solar Sprint,https://www.usaeop.com/program/jss/,Robotics,Government,Middle,Free,,USA,,,,Community,"JSS is an educational program for 5th through 8th grade students with the goal of creating the fastest, most interesting and best crafted solar-vehicle possible. Students will design, build and race solar powered cars using hands-on engineering skills and principles of science and math, develop teamwork and problem solving abilities, investigate environmental issues and gain hands-on STEM skills. To register, scroll to the map and click on the link in your state to get started today!",Middle School Students,Free,,
First Robotics Competitions,https://www.firstinspires.org/robotics/frc,Robotics,Private,High,Free,,USA,,,,,"Under strict rules and limited time and resources, teams of high school students are challenged to build industrial-size robots to play a difficult field game in alliance with other teams, while also fundraising to meet their goals, designing a team “brand,” and advancing respect and appreciation for STEM within the local community.",High School Students,Free,,
Botball,https://www.kipr.org/botball/what-is-botball,Robotics,Private,"Middle, High",Free,,USA,,,,Community,"The Botball® Educational Robotics Program engages middle and high school aged students in a team-oriented robotics competition, and serves as a perfect way to meet today’s new common core standards.",Middle and High School Students,Free,,
BEST Robotics,https://www.bestrobotics.org/site/b_about_best.php,Robotics,Private,"Middle, High",Free,,USA,,,,Community,"Take plywood and a box filled with items such as PVC pipe, screws and other hardware, an irrigation valve cover, piano wire, aluminum paint grid, a bicycle inner tube, a BRAIN (BEST Robotics Advanced Instruction Node programmable platform), and something called a micro-energy chain system and try, within six weeks, to design and build a functioning machine that can perform certain, specific tasks in three minutes. What do you get? You get BEST, a middle and high school robotics competition whose mission is to engage and excite students about engineering, science, and technology as well as inspire them to pursue careers in these fields.",Middle and High School Students,Free,,
Hack TJ,https://hacktj.org/,Hackathon,Private,High,Free,,VA,,,,,"Do you get excited watching your ideas come to life? Ever wanted to build the next Snapchat or create an Amazon Alexa skill? Program a drone? Create programs using the latest machine learning or virtual reality technology? Come to HackTJ to make new friends, build mind-blowing projects, attend workshops to learn new tricks, and have a fantastic time!",High School Students,Free,,
Technovation Design Challenges,https://www.curiositymachine.org/challenges/?theme=Robotics,Challenge,Private,Anyone,Free,,Virtual,,,,,A collection of self-paced challenges/ tutorials to learn about ML/AI for those with a Technovation account,N/A,Free,Account holder,Self-paced
2021 vNCWIT Summit on Women and IT,https://ncwit.org/summit/2021-ncwit-summit-on-women-and-it/,Conference,Non-Profit,Anyone,Free,,Virtual,Underrepresented,Female,,Community,"Facilitate reform in computing classes and technical organizations, the NCWIT Summit continues to be the world’s largest annual convening of change leaders focused on significantly improving diversity and equity in computing.",Free and open to public,Free,,5 days
WikiCFP,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=115195&copyownerid=165605,Conference,Non-Profit,Educators,Free,,Virtual,,,,,"In this conference, we invite the AIED community to reflect on issues of equity, diversity, and inclusion in regards to the educational tools and algorithms that we build, how we assess the efficacy and impact of our applications, the theories that we build on and contribute to, and within the AIED society.",Educators,Free,,5 days
CS Teachers Association,https://www.csteachers.org/page/csta-2021,Conference,Non-Profit,Educators,Free,,Virtual,,,,Community,Over 100 sessions to broaden teachers knowledge of computer science education,N/A,Free,CSTA Member,3 days
Cyber.org Cyber Education Discovery Forum (on pause),https://cyber.org/events/cyber-education-discovery-forum,Conference,Private,"Educators, Professionals",Free,,Virtual,,,,,"A three-day virtual professional development event designed to help you reset, regroup, and refresh with new cybersecurity content and strategies as you head into the 2022 school year!",,Free,,3 days
Amazon Future Engineer Cyber Robotics Program,https://www.amazonfutureengineer.com/CyberRobotics,conference,Private,"Elementary, Middle, High",Free,,Virtual,,,,,"A three-day virtual professional development event designed to help you reset, regroup, and refresh with new cybersecurity content and strategies as you head into the 2022 school year!",,Free,,3 hours
NASA Space Robotics Challenge,https://www.nasa.gov/directorates/spacetech/centennial_challenges/space_robotics/index.html,Robotics,Government,Anyone,Free,,Virtual,,,,,Competition to advance robotic software and autonomous capabilities for space exploration missions on the surface of extraterrestrial objects.,N/A,Free,,
Ai4ed Symposium,http://ai4ed.cc/workshops/aaai2021sss,Conference,Non-Profit,Educators,Free,,Virtual,,,,Community,This symposium will focus on introducing research progress on applying AI to K-12 education and discussing recent advances of handling challenges encountered in AI educational practice.,Educators,Free,,2 days
Husky Hackathon,https://www.huskyhackathon.com/,Hackathon,Non-Profit,"High, Postsecondary",Free,,WA,,,,,"The Hackathon will be an exciting 48 hours filled with building prototypes, pitching prototypes to investors, and actually creating a business – through this event, teams will experience the entire lifecycle of building a product with a cross-functional team. Workshops and speaker series from local technology leaders will precede the event. Cash awards for the 1st, 2nd, and 3rd place teams (up to $5,000)!",students,Free,,1 week
Hack Appleton,https://www.hackappleton.org/,Hackathon,Non-Profit,"Middle, High",Free,,WI,,,,,"Now in its third year, HACKAppleton is an annual student-run hackathon held in the spring in Northeastern Wisconsin. It is organized by the Appleton Youth Education Initiative (AYEI), a student-driven non profit organization seeking to better prepare Wisconsin students for their transition into higher education and to face the challenges and opportunities of adult life. Through HACKAppleton, students interested in computer science will have a fantastic opportunity to gain experience working in a team, technical practice, and a chance to engage with both local and international tech leaders.",6-12th grade students,Free,,1 day
NASA Entrepreneurs Challenge,https://www.nasa-science-challenge.com/,Challenge,Government,"Postsecondary, Professionals",Free,,,,,,,"Seeks to identify individuals and promising commercial companies working on technology that will advance the state-of-the-art in AI, mass spectrometry, and quantum sensors.",N/A,Free,,
DARPA Cyber Grand Challenge,https://www.darpa.mil/program/cyber-grand-challenge,Challenge,Government,"Postsecondary, Professionals",Free,,,,,,,"Create automatic defensive systems capable of reasoning about flaws, formulating patches and deploying them on a network in real time",,Free,,
AI Family Challenge (Technovation),https://www.curiositymachine.org/get-started/,Challenge,Non-Profit,Anyone,Free,,,Underrepresented,,,Community,"Learn what Al is, how it works, and how to use it to solve a problem in local community",,Free,,
Your Voice is Power,https://drive.google.com/file/d/1y_qRpdWr4xtVWjedF_vrl0o_n6DFTzce/view,Challenge,Non-Profit,"Elementary, Middle, High",Free,,,,,,,"Empowering kids across the nation to learn to code through music using the remote coding platform called EarSketch. Bringing creativity together through two languages - music and coding - young people will produce studio quality music as a pathway to advancing their knowledge of Python, Java Script, and computational math.",,Free,,
Cyber.org Competitions,https://cyber.org/career-exploration/camps-and-competitions,Challenge,Non-Profit,Educators,Free,,,,,,,CYBER.ORG's goal is to empower educators as they prepare the next generation to succeed in the cyber workforce of tomorrow.,,Free,,
World AI Competition for Youth (WAICY),https://www.waicy.org/,Challenge,Private,"Middle, High",Free,,,,,,,Challenge students to learn and use artificial intelligence (AI) technology to solve real problems,Participating Schools,Free,,
The Hidden Genius Project Catalyst Project,https://www.hiddengeniusproject.org/programs/,conference,Non-Profit,High,Free,,,Underrepresented,Male,Black/African American,Community,"The Hidden Genius Project offers FREE single and multi-day events and workshops led by our Youth Educators throughout the year with the express aim of igniting interest and exposing boys and young people of color to mentors, basic computer programming, and pathways to tech careers.",,Free,,
Computer Science Education Week,https://www.csedweek.org/,Conference,Non-Profit,"Elementary, Middle, High",Free,,,,,,,"Call to action to inspire K-12 students to learn computer science, advocate for equity in computer science education, and celebrate the contributions of students, teachers, and partners to the field.",,Free,,
RoboCup,https://robocup.org/,Robotics,Private,"High, Postsecondary, Professionals",Free,,,,,,,"In the history of artificial intelligence and robotics, the year 1997 will be remembered as a turning point. In May 1997, IBM Deep Blue defeated the human world champion in chess. Forty years of challenge in the AI community came to a successful conclusion. On July 4, 1997, NASA’s MARS Pathfinder mission made a successful landing and the first autonomous robotics system, Sojourner, was deployed on the surface of Mars. Together with these accomplishments, RoboCup made its first steps toward the development of robotic soccer players which can beat a human World Cup champion team.",Students,Free,,
Academic Summer Internship Program,https://apply.intelligencecareers.gov/student-tiles,Internship,Government,"Postsecondary, Professionals",Free,,USA,,,,,"Academic Semester interns are appointed for one semester, from August to December. Students are employed as part-time temporary employees (working a maximum of 29 hours per week). Eligibility requirements are the same, regardless of pay status. All interns must be granted a security clearance and must successfully pass a drug screening test prior to being made a final offer. Academic Semester interns are only compensated for time worked.",Undergraduate and Graduate Students,Free,"U.S. Citizen, Current enrollment in undergraduate or graduate program with a 3.0 college GPA, at least 60 university hours",1 Semester
Advanced Cyber Education Course,https://www.afit.edu/CCR/page.cfm?page=658&tabname=Tab1A,Curriculum,Government,Postsecondary,Free,,USA,,,,,"Advanced Cyber Education (ACE) program is a four week course that takes place during the undergraduate academic summer break at the Air Force Institute of Technology (AFIT). The program consists of an instructional component, cyber war exercises, and cyber officer development days that focus on the study of cyber and its unique leadership challenges.",Undergrad Juniors and Seniors in ROTC,Free,"ROTC Cadet, 2.75 GPA minimum, U.S. citizen, majoring in computer engineering, computer science, electrical engineering, or any information technology related major",4 Weeks
AEOP College Qualified Leaders,https://www.arl.army.mil/careers/students/college-and-university/,Fellowship,Government,Postsecondary,Free,,USA,,,,,"ARL matches talented undergraduate students with scientists and engineers in a direct mentor-student relationship, that provides the student with training, firsthand research experience and exposure to DoD laboratories that is unparalleled at most colleges. The program’s goal is to enhance the participants’ formal learning experience and foster the desire to pursue higher education and training in STEM. Selected participants receive a stipend based on education and experience.",Undergraduate Students,Free,"Enrolled as an undergraduate or be a recent graduate in a STEM program, U.S. citizen",6 Months - 1 Year
AFRL Scholars,https://afrlscholars.usra.edu/,Internship,Government,"Postsecondary, Professionals",Free,,USA,,,,,"The Air Force Research Laboratory (AFRL) Scholars Program offers stipend-paid internship opportunities for undergraduate and graduate-level university students pursuing STEM degrees, as well as upper-level high school students; select locations also offer internships to university students pursuing education-related degrees and K–12 professional educators. The selected interns gain valuable hands-on experiences working with full-time AFRL scientists and engineers on cutting-edge research and technology and are able to contribute to unique, research-based projects. Graduate interns are able to collaborate with AFRL on current research and incorporate the research into their graduate work.",Undergraduate and Graduate Students,Free,"U.S. Citizen, 3.0 GPA Minimum",Summer
AMS Graduate Fellowships,https://www.ametsoc.org/index.cfm/ams/information-for/students/ams-scholarships-and-fellowships/ams-graduate-fellowships/,Fellowship,Government,Postsecondary,Free,,USA,,,,,"The AMS Fellowship Program is a source of unique opportunities for outstanding students looking to pursue graduate education in the atmospheric or related sciences. To date, 368 students have been designated as AMS fellowship recipients. The program helps these first-year graduate students to be educated about unique challenges facing the world so that they may better tackle real-world issues after graduation. Fellowships come with several benefits that include financial support, the opportunity to be special guests at the AMS Annual Meeting with exclusive events therein, and ongoing academic and career support from AMS.",First Year Graduate Students,Free,"Entering first year of graduate school, Pursuing a degree in the atmospheric or related sciences at a US accredited institution, 3.0 GPA minimum, U.S. Citizen or permanent resident",Length of degree
CAE-Cyber Operations Summer Intern Program,https://www.intelligencecareers.gov/icstudents.html,Internship,Government,Postsecondary,Free,,USA,,,,,This internship is NSA’s premier outreach program for students enrolled in the Cyber Operations specialization at NSA-designated universities. You will gain knowledge of specific cyber-related topics and apply that knowledge to address various real-world mission-related technical challenges. You will work on a broad range of problems involving applications of computer science and engineering.,"College sophomore, junior, or senior",Free,"U.S. Citizen, 3.0 GPA minimum, majoring in computer science, computer engineering, electrical engineering or a related discipline and have completed courses in C programming, assembly programming, networking and operating systems",Summer
Civic Digital Fellowship,https://www.codingitforward.com/civic-digital-fellowship,Fellowship,Government,"Postsecondary, Professionals",Free,,,,,,,"Brings together student software engineers, data scientists,product managers, and designers who innovate at the intersection of technology and public service. Data and Technology Fellows recruits talented individuals from computer science and related fields to work in biomedical research.","Undergrad, grad",Free,"US. Citizen, Undergraduate degree or enrollement",10 weeks
Colorado College Summer Internship Program,https://www.intelligencecareers.gov/icstudents.html,Internship,Government,Postsecondary,Free,,USA,,,,,Students will gain hands-on work experience while building knowledge and skills in fundamental aspects of the NSA mission. Internship positions are offered in software engineering and target analysis.,Undergraduate and Graduate Students,Free,U.S. Citizen,Summer
Computing Innovation Fellows,https://cifellows2020.org/,Fellowship,Government,Professionals,Free,,USA,,,,,"In May, the Computing Research Association (CRA) and its Computing Community Consortium (CCC) launched the CIFellows 2020 program, with strong support from the National Science Foundation (NSF). The program aims to provide a career-enhancing bridge experience for recent and soon-to-be computing PhD graduates to combat hiring disruptions due to COVID. This effort was modeled after the CRA/CCC’s NSF-funded Computing Innovation Fellows Programs with cohorts starting 2009, 2010, and 2011, which funded 127 CIFellows following the 2008 recession.",Post PhD,Free,PhD in computer science or a closely related field,2 years
CSGrad4U,https://www.nsf.gov/pubs/2021/nsf21044/nsf21044.jsp,Fellowship,Government,"Postsecondary, professionals",Free,,USA,,,,,"The CSGrad4US Fellowships support graduate study leading to research-based doctoral degrees in CISE disciplines. They support individuals proposing plans for graduate education that take individual experiences, interests and competencies into consideration. A CSGrad4US Fellowship applicant's plan describes the academic and industrial achievements, attributes, and experiences that illustrate their demonstrated potential for significant research achievements. A CSGrad4US Fellowship applicant must provide a profile of their relevant education and experience and a reference letter that demonstrates this potential.",Pursuing a graduate education,Free,"U.S. Citizen or permanent resident, Bachelors Degree in computer science, computer engineering, and information science",Fellowship funding
Cyber Summer Program,https://apply.intelligencecareers.gov/student-tiles,Internship,Government,"High, Postsecondary, Professionals",Free,,MD,,,,,"The Cyber Summer Program (CSP) is the National Security Agency's (NSA) premier outreach effort to the very best undergraduate and graduate computer science, engineering, mathematics, network security and information assurance students in the country. Each summer we invite up to 24 exceptional students to participate in a 12-week program where they work together, and in teams, directly with NSA technical professionals on mission-critical cyber-related problems.","Undergraduate Juniors, Seniors, and Graduate Students",Free,"U.S. Citizen, College Junior or Senior or Graduate Student, 3.0 GPA minimum, majoring in computer science, engineering, mathematics, network security or information assurance, or another closely related discipline",12 Weeks
CyberCorps Scholarship for Service,https://www.sfs.opm.gov/default.aspx,Scholarship,Government,"Postsecondary, Professionals",Free,,,,,,,"Designed to recruit and train the next generation of information technology professionals, industrial control system security professionals, and security managers to meet the needs of the cybersecurity mission for Federal, State, local, and tribal governments.","Undergrad, grad, PhD",Free,,3 years
CyberCorps® Scholarship for Service Program (SFS),https://www.sfs.opm.gov/StudDefault.aspx,Scholarship,Government,Postsecondary,Free,,USA,,,,,"Programs of study are varied and cover fields such as Computer Science/Engineering, Security of Emerging Technologies (e.g., internet of things, medical implants), Cyber Law and Privacy, and Policy. Students pursue studies in well-established cybersecurity programs, engage with hands-on experiences, participate in cyber competitions and pursue opportunities for professional development (e.g., earn industry certifications, present at conferences). They are required to complete a summer internship to hone their skills and gain professional experience. Often they stay at their place of internship for post-graduation placement.",Pursuing an undergreaduate or masters degree,Free,"U.S. Citizen or permanent resident, Full time undergraduate","Annual stipends of $25,000 per year for undergraduate students and $34,000 per year for graduate students and a $6,000 professional stipend"
Cybersecurity talent initiative,https://www.uscybergames.com/,Scholarship,Government,"Postsecondary, Professionals",Free,,,,,,,"Students in undergraduate or graduate degree programs in a cybersecurity-related field, such as computer science, engineering, information systems, and mathematics are ideal candidates for this program. Federal agencies will make offers by spring 2022, and most agency placements will start in the summer or fall of 2022. Completion of cyber-related degree prior to federal agency start date is required. Applicants must be a U.S. citizen or national (a resident of American Samoa or Swains Island) and have outstanding student loans.",Undergrad and Graduate,Free,"U.S. Citizen, Enrollement in Cyber Degree program, Outstanding student loans",2 Years
DARPA Young Faculty Award,https://beta.sam.gov/opp/0fcd902993c744a482b586fe1f33e861/view,Fellowship,Government,Professionals,Free,,,,,,,Aims to identify and engage rising stars in junior faculty positions in academia and equivalent positions at non-profit research institutions and expose them to Department of Defense (DoD) and National Security challenges and needs.,Junior faculty in academia,Free,,
Department of Energy Community College Internship,https://orise.orau.gov/ornl/undergraduates/cci/default.html,Internship,Government,Postsecondary,Free,,USA,,,,,Oak Ridge National Laboratory participates in the Department of Energy Community College Internships (CCI). The program is sponsored and managed by the DOE Office of Science’s Office of Workforce Development for Teachers and Scientists (WDTS) in collaboration with the DOE national laboratories. The program seeks to encourage community college students to enter technical careers relevant to the DOE mission by providing 10-week internships at a DOE laboratory.,Community College students,Free,"Full time student at a community college, 3.0 GPA minimum, U.S. Citizen or permanent resident",10 weeks
DHS Cybersecurity Internship Program,https://www.dhs.gov/homeland-security-careers/cybersecurity-internship-program,Internship,Government,Postsecondary,Free,,"Washington, DC",,,,,"The Cybersecurity Internship Program is designed to give current students an opportunity to work alongside cyber leaders with the U.S. Department of Homeland Security. Interns are recruited from the nation's top undergraduate and graduate programs to put their academic achievements and intellect to use during a critical time in American history. Interns will have the opportunity to apply concepts, protocols and tools acquired through coursework in the real world by working side by side with experts in cybersecurity. Internships focus on mission areas such as identification and analysis of malicious code, forensics analysis, incident handling, intrusion detection and prevention, and software assurance. Interns will have the opportunity to be selected into the bachelor's or master's-based Cyber Fellows Program within the DHS Secretary's Honors Program after graduation.",Undergraduate and Graduate Students,Free,"U.S. Citizen, enrolled in Bachelors or Masters program with a cyber-related degree",Summer
DoD National Defense Science and Engineering Graduate Fellowship program,https://www.onr.navy.mil/en/Education-Outreach/undergraduate-graduate/NDSEG-graduate-fellowship,Fellowship,Government,Postsecondary,Free,,USA,,,,,"The National Defense Science and Engineering Graduate (NDSEG) Fellowship Program is a joint program of the United States Army, Navy and Air Force within the University Research Initiative (URI), designed to increase the number of U.S. citizens trained in disciplines of science and engineering important to defense goals. DoD awards approximately 100-150 new three-year graduate fellowships each year to individuals for study and research leading to doctoral degrees in, or closely related to, the disciplines of aeronautical and astronautical engineering; biosciences; chemical engineering; chemistry; cognitive, neural and behavioral sciences; electrical engineering; geosciences; civil engineering; computer and computational sciences; materials science and engineering; mathematics; mechanical engineering; naval architecture and ocean engineering; oceanography; and physics.",Intending to pursue a PhD,Free,U.S. Citizen or National,36 months
DOD NDSEG Fellowship Program,https://ndseg.sysplus.com/,Fellowship,Government,Postsecondary,Free,,USA,,,,,"The DoD NDSEG Fellowship Program, established in 1989 by direction of Congress and sponsored by the Army, Navy, and Air Force, serves as a means of increasing the number of United States citizens trained in science and engineering disciplines of military importance. This program is designed to encourage Baccalaureate recipients to enter Graduate school and ultimately gain Doctorates which align to the DoD services Broad Agency Announcements (BAAs) in research and development.",Undergraduate Students,Free,"U.S. Citizen, 3 year minimum remaining in graduate program",Varies
DoD Starbase,https://dodstarbase.org/,After-School Program,Government,Middle,Free,,USA,,,,,"Mission Statement: To expose our nation’s youth to the technological environments and positive civilian and military role models found on Active, Guard, and Reserve military bases and installations, nurture a winning network of collaborators, and build mutual loyalty within our communities, by providing 25 hours of exemplary hands-on instruction and activities that meet or exceed the National Standards.",Grades 6-8,Free,,
DOE Computational Science Graduate Fellowship,https://internships.fnal.gov/csgf/,Fellowship,Government,Postsecondary,Free,,USA,,,,,"Established in 1991, the Department of Energy Computational Science Graduate Fellowship (DOE CSGF) provides outstanding benefits and opportunities to students pursuing doctoral degrees in fields that use high-performance computing to solve complex science and engineering problems. The program fosters a community of energetic and committed Ph.D. students, alumni, DOE laboratory staff and other scientists who want to have an impact on the nation while advancing their research. Fellows come from diverse scientific and engineering disciplines but share a common interest in using computing in their research.",Undergraduate Seniors and first year PhD students,Free,,Summer
Dr. Nancy Foster Scholarship Program,https://fosterscholars.noaa.gov/,Scholarship,Government,Postsecondary,Free,,USA,Underrepresented,,,,"The National Oceanic and Atmospheric Administration’s (NOAA) Dr. Nancy Foster Scholarship Program provides support for master’s and doctoral degrees in oceanography, marine biology, or maritime archaeology—this can include, but is not limited to, ocean and/or coastal: engineering, social science, marine education, marine stewardship, and resource management disciplines—and particularly encourages women and members of minority groups to apply. Scholarship selections are based on academic excellence, letters of recommendations, research and career goals and financial need.",Graduate students,Free,"U.S. Citizen or permanent resident, Pursuing a graduate degree. 3.3 GPA minimum",
eCYBERMISSION,https://www.ecybermission.com/About,Challenge,Government,"Middle, High",Free,,USA,,,,,"eCYBERMISSION is a web-based science, technology, engineering, and mathematics (STEM) competition for students in grades six through nine. Students are challenged to explore how STEM works in their world while working as a team to solve problems in their community. Teams compete virtually in state and regional competitions and in-person through the National Judging & Educational Event (NJ&EE) in June 2021. Student prizes are awarded at the state, regional, and national levels by grade level.",Grades 6-9,Free,US Army Educational Outreach Program,Summer
Einstein AI,https://einstein.ai/outreach/grants,Internship,Government,Professionals,Free,,,,,,,"Our Salesforce Research team is inviting submissions from university faculty, non-profit organizations, and NGOs to apply for our Salesforce AI Research Grant. Our goal is to support individuals who extend, use or analyze AI and its applications. We encourage people to submit problems or research pertaining to our current research projects but it is not required. The purpose of the grant is to create lasting relationships with our grant winners and to advance the state of the art in AI. We would like to extend this opportunity to the entire research community but this year, we plan to focus more on groups who are underrepresented in the field of AI.","Permanent faculty members, non-profit organizations, and NGOs around the world.",Free,,1 year
EPP/MSI Undergraduate Scholarship Program,https://www.noaa.gov/office-education/epp-msi/undergraduate-scholarship,Scholarship,Government,Postsecondary,Free,,USA,Underrepresented,,,,"The EPP/MSI Undergraduate Scholarship provides funds for two years of undergraduate study to rising junior undergraduate students majoring in Science, Technology, Engineering and Mathematics (STEM) fields that directly support NOAA's mission. Participants conduct research at a NOAA facility during two paid summer internships. Since 2001, 219 students have completed the program and over 75% go on to graduate school.",Sophomore Undergraduates,Free,"Pursuing a degree at a minority serving institution, U.S. Citizen or U.S. National, 3.2 GPA minimum",Summers
Ernest F. Hollings Undergraduate Scholarship,https://www.noaa.gov/office-education/hollings-scholarship,Scholarship,Government,Postsecondary,Free,,USA,,,,,"The Hollings Scholarship Program provides successful undergraduate applicants with awards that include academic assistance (up to $9,500 per year) for two years of full-time study and a 10-week, full-time paid ($700/week) internship at a NOAA facility during the summer.",First and second year undergraduate students,Free,,Summers
Faculty-Student Team Defense Lab Research,https://orise.orau.gov/FSRP/default.htm,Internship,Government,"Postsecondary, Professionals",Free,,USA,,,,,The purpose of the Defense lab academic research activity is to increase and enhance the scientific leadership at underserved populations such as Historically Black Colleges and Universities (HBCU) and Minority Serving Institutions (MIs) in research areas that support the mission and goals of the Joint Science and Technology Office JSTO-CBD.,University Faculty and students at Minority serving institutions and HBCUs,Free,,Summer
Gains in the Education of Mathematics and Science,https://www.usaeop.com/program/gems/,Fellowship,Government,"Elementary, Middle, High",Free,,USA,,,,,"GEMS’ mission is to interest young people, who might not otherwise give serious thought to becoming scientists or engineers, in STEM careers early enough that they have the time to attain the appropriate academic training. The program is based on a multi-disciplinary educational curriculum, and is focused on age and grade-appropriate hands-on activities, in areas such as science, engineering, mathematics, computational sciences, computational biology, biomedical sciences, chemistry and biology.",Grades 5-12,Free,US Citizen or Permanent Resident,Summer
Gifted and Talented STEM Program,https://apply.intelligencecareers.gov/student-tiles,Internship,Government,High,Free,,MD,,,,,"The National Security Agency's (NSA) Gifted and Talented Program is open only to high school seniors. The program is designed for students who have demonstrated an aptitude for engineering, math and science.",High School Seniors,Free,"U.S. Citizen, 3.5 GPA minimum, 1200 SAT or 25 ACT, completion of an AP/IB level physics and calculus course and either a computer science, computer programming or an engineering course by completion of their senior year",2 Months
Graduate Research Fellowship Program,https://www.nsf.gov/pubs/2018/nsf18573/nsf18573.htm,Fellowship,Government,Postsecondary,Free,,USA,Underrepresented,,,,"The purpose of the NSF Graduate Research Fellowship Program (GRFP) is to help ensure the vitality and diversity of the scientific and engineering workforce of the United States. The program recognizes and supports outstanding graduate students who are pursuing full-time research-based master's and doctoral degrees in science, technology, engineering, and mathematics (STEM) or in STEM education. The GRFP provides three years of support for the graduate education of individuals who have demonstrated their potential for significant research achievements in STEM or STEM education. NSF especially encourages women, members of underrepresented minority groups, persons with disabilities, veterans, and undergraduate seniors to apply.",Graduate students,Free,"U.S. Citizen or Permanent resident, Enrolled in full time research degree in STEM",Length of Degree
Great Lakes Summer Fellows Program,https://ciglr.seas.umich.edu/opportunities/student-fellowships/,Fellowship,Government,"Postsecondary, Professionals",Free,,USA,,,,,"CIGLR administers an annual Great Lakes Summer Fellows Program, in partnership with the NOAA Great Lakes Environmental Research Laboratory (GLERL). This program helps place promising undergraduate (junior or senior as of Fall 2021*) and graduate students with both academic and federal research mentors. Through this program, students work on substantive research issues in the Great Lakes and undergo a career training program that equips them with the knowledge and skills to be the next generation of Great Lakes scientists. We seek to use these fellowships to increase diversity in STEM disciplines (science, technology, engineering and math) and strongly encourage applications from students who identify with groups that have been traditionally underrepresented in government and academic workforces.","Undergraduate Juniors and seniors, Graduate students",Free,U.S. Citizen or on a U.S. Student visa,Summer
Griffiss Institute Summer Internship Program,https://www.griffissinstitute.org/who-we-work-with/afrl/summer-internship,Internship,Government,"Postsecondary, Professionals",Free,,USA,,,,,This is a paid summer internship opportunity for students currently enrolled in an accredited college or university at the freshman level through PhD level (U.S. CITIZENS ONLY) to work on-site with AFRL researchers on a wide variety of research projects.,Undergraduates and Graduate Students,Free,"U.S. Citizen, Currently an undergradute or graduate student, majoring in Electrical and Computer Engineering, Computer Science, Mathematics or Physics",Summer
High School Work Study Program,https://apply.intelligencecareers.gov/student-tiles,Internship,Government,High,Free,,MD,,,,,"NSA offers high school students a High School Work Study Program and a Vo-Tech Program. High School Work Study is designed for students who are enrolled in either business, Chinese language, or technical computer classes, and who plan to participate in a school-sponsored work experience program during senior year. Vo-Tech is for students who are enrolled in printing/graphic arts or manufacturing classes, and who plan to participate in a school-sponsored work experience program during senior year. The programs require no less than 20 hours a week and no more than 32 hours during the school year.",High School Juniors,Free,"U.S. Citizen, 2.5 GPA minimum",2 Months
HM Tech,https://share-ng.sandia.gov/stem/hmtech/,Internship,Government,"Middle, High",Free,,USA,Underrepresented,,Black/African American,,"HMTech is a summer STEM program provided by the Black Leadership Committee for middle and high school students. The program gets students involved in fun, hands-on, science and engineering activities and provides an opportunity to explore a variety of STEM careers.",Grades 6-12,Free,,1 day
I2O PostDoc Fellowship,https://www.grants.gov/web/grants/view-opportunity.html?oppId=329795,Fellowship,Government,Professionals,Free,,USA,,,,,"DARPA announced it would broaden the scope of its commitment to talented young scientists, engineers, and mathematicians through a new fellowship program focused specifically on postdoctoral researchers in the field of computer science with grants sized to support each fellow for up to two years.""Because the pandemic has disrupted research and teaching at institutions of higher education, the employment prospects of the current cohort of Ph.D. graduates has been severely impacted,"" said Dr. William Scherlis, director of DARPA's Information Innovation Office. ""If left unaddressed, these adverse impacts will result in a shortfall in research-qualified individuals in computer-science fields such as cybersecurity, software engineering, artificial intelligence, machine learning, data science, human-machine interaction, social-network engineering, and other areas that are critical to U.S. national security and economic competitiveness.""...",Post PhD,Free,"PhD, U.S. Citizen",
